tanggal,kode,nama,jumlah,harga,area
15-04-2020,Item-06,Sabun Mandi Cair 100 ml,3,10500,MGL
15-04-2020,Item-06,Sabun Mandi Cair 100 ml,2,10500,MGL
16-04-2020,Item-04,Kopi Instant,4,5200,MGL
16-04-2020,Item-04,Kopi Instant,3,5200,MGL
16-04-2020,Item-04,Kopi Instant,4,5200,MGL
16-04-2020,Item-04,Kopi Instant,2,5200,MGL
16-04-2020,Item-04,Kopi Instant,4,5200,MGL
16-04-2020,Item-04,Kopi Instant,3,5200,MGL
16-04-2020,Item-04,Kopi Instant,1,5200,MGL
16-04-2020,Item-04,Kopi Instant,4,5200,MGL
17-04-2020,Item-04,Kopi Instant,1,5200,MGL
17-04-2020,Item-04,Kopi Instant,3,5200,MGL
,,Kopi Instant,4,5200,MGL
17-04-2020,Item-04,Kopi Instant,1,5200,MGL
16-04-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
16-04-2020,Item-20,Pampers Bayi Size M,4,41000,MGL
16-04-2020,Item-20,Pampers Bayi Size M,2,41000,MGL
16-04-2020,Item-20,Pampers Bayi Size M,4,41000,MGL
16-04-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
16-04-2020,Item-20,Pampers Bayi Size M,1,41000,MGL
16-04-2020,Item-20,Pampers Bayi Size M,4,41000,MGL
17-04-2020,Item-20,Pampers Bayi Size M,1,41000,MGL
17-04-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
17-04-2020,Item-20,Pampers Bayi Size M,4,41000,MGL
17-04-2020,Item-20,Pampers Bayi Size M,1,41000,MGL
17-04-2020,Item-20,Pampers Bayi Size M,2,41000,MGL
17-04-2020,Item-20,Pampers Bayi Size M,1,41000,MGL
17-04-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
17-04-2020,Item-20,Pampers Bayi Size M,4,41000,MGL
17-04-2020,Item-03,Gula Pasir Putih 1 kg,1,12500,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,1,24000,MGL
17-04-2020,Item-11,Sabun Cuci Piring,3,14000,MGL
17-04-2020,Item-17,Obat Batuk,1,5000,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,1,24000,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,3,24000,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,1,24000,MGL
17-04-2020,Item-11,Sabun Cuci Piring,3,14000,MGL
17-04-2020,Item-03,Gula Pasir Putih 1 kg,1,12500,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,3,24000,MGL
17-04-2020,Item-11,Sabun Cuci Piring,3,14000,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,1,24000,MGL
17-04-2020,Item-11,Sabun Cuci Piring,3,14000,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,4,24000,MGL
17-04-2020,Item-11,Sabun Cuci Piring,1,14000,MGL
17-04-2020,Item-10,Biskuit Waver Kaleng,4,24000,MGL
17-04-2020,Item-11,Sabun Cuci Piring,3,14000,MGL
18-04-2020,Item-19,Obat Diare,3,5000,MGL
18-04-2020,Item-17,Obat Batuk,4,5000,MGL
18-04-2020,Item-18,Telur Ayam Negeri,4,1700,MGL
18-04-2020,Item-19,Obat Diare,1,5000,MGL
18-04-2020,Item-10,Biskuit Waver Kaleng,1,24000,MGL
18-04-2020,Item-17,Obat Batuk,4,5000,MGL
18-04-2020,Item-17,Obat Batuk,2,5000,MGL
18-04-2020,Item-18,Telur Ayam Negeri,3,1700,MGL
18-04-2020,Item-10,Biskuit Waver Kaleng,2,24000,MGL
18-04-2020,Item-17,Obat Batuk,2,5000,MGL
18-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,MGL
18-04-2020,Item-10,Biskuit Waver Kaleng,1,24000,MGL
18-04-2020,Item-17,Obat Batuk,3,5000,MGL
18-04-2020,Item-10,Biskuit Waver Kaleng,4,24000,MGL
18-04-2020,Item-17,Obat Batuk,1,5000,MGL
18-04-2020,Item-10,Biskuit Waver Kaleng,3,24000,MGL
18-04-2020,Item-17,Obat Batuk,3,5000,MGL
18-04-2020,Item-03,Gula Pasir Putih 1 kg,4,12500,MGL
18-04-2020,Item-03,Gula Pasir Putih 1 kg,4,12500,MGL
19-04-2020,Item-17,Obat Batuk,4,5000,MGL
19-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,MGL
19-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
19-04-2020,Item-03,Gula Pasir Putih 1 kg,4,12500,MGL
19-04-2020,Item-03,Gula Pasir Putih 1 kg,4,12500,MGL
19-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
19-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
19-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,MGL
19-04-2020,Item-03,Gula Pasir Putih 1 kg,1,12500,MGL
19-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
20-04-2020,Item-14,Teh Celup Melati,1,7800,MGL
20-04-2020,Item-17,Obat Batuk,1,5000,MGL
19-04-2020,Item-01,Batere AA,4,12000,MGL
19-04-2020,Item-08,Vitamin C,3,2000,MGL
20-04-2020,Item-14,Teh Celup Melati,4,7800,MGL
20-04-2020,Item-17,Obat Batuk,1,5000,MGL
17-04-2020,Item-20,Pampers Bayi Size M,1,41000,MGL
26-04-2020,Item-20,Pampers Bayi Size M,2,41000,MGL
26-04-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
26-04-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
26-04-2020,Item-20,Pampers Bayi Size M,1,41000,MGL
26-04-2020,Item-20,Pampers Bayi Size M,4,41000,MGL
17-04-2020,Item-05,Mi Goreng Instant,2,2600,MGL
17-04-2020,Item-05,Mi Goreng Instant,2,2600,MGL
17-04-2020,Item-05,Mi Goreng Instant,1,2600,MGL
19-04-2020,Item-05,Mi Goreng Instant,1,2600,MGL
19-04-2020,Item-05,Mi Goreng Instant,3,2600,MGL
19-04-2020,Item-05,Mi Goreng Instant,1,2600,MGL
19-04-2020,Item-05,Mi Goreng Instant,1,2600,MGL
,Item-05,Mi Goreng Instant,,,MGL
19-04-2020,Item-05,Mi Goreng Instant,3,2600,MGL
19-04-2020,Item-05,Mi Goreng Instant,1,2600,MGL
19-04-2020,Item-05,Mi Goreng Instant,3,2600,MGL
19-04-2020,Item-01,Batere AA,1,12000,MGL
20-04-2020,Item-01,Batere AA,1,12000,MGL
17-04-2020,Item-04,Kopi Instant,2,5200,MGL
17-04-2020,Item-04,Kopi Instant,1,5200,MGL
17-04-2020,Item-04,Kopi Instant,3,5200,MGL
17-04-2020,Item-04,Kopi Instant,4,5200,MGL
17-04-2020,Item-04,Kopi Instant,1,5200,MGL
19-04-2020,Item-08,Vitamin C,3,2000,MGL
19-04-2020,Item-08,Vitamin C,4,2000,MGL
19-04-2020,Item-08,Vitamin C,4,2000,MGL
19-04-2020,Item-08,Vitamin C,4,2000,MGL
19-04-2020,Item-08,Vitamin C,3,2000,MGL
19-04-2020,Item-08,Vitamin C,4,2000,MGL
19-04-2020,Item-08,Vitamin C,2,2000,MGL
19-04-2020,Item-08,Vitamin C,3,2000,MGL
19-04-2020,Item-08,Vitamin C,4,2000,MGL
19-04-2020,Item-08,Vitamin C,3,2000,MGL
19-04-2020,Item-08,Vitamin C,4,2000,MGL
19-04-2020,Item-08,Vitamin C,2,2000,MGL
19-04-2020,Item-08,Vitamin C,2,2000,MGL
19-04-2020,Item-08,Vitamin C,2,2000,MGL
19-04-2020,Item-08,Vitamin C,3,2000,MGL
19-04-2020,Item-08,Vitamin C,2,2000,MGL
18-04-2020,Item-09,Roti Tawar,2,12500,MGL
18-04-2020,Item-09,Roti Tawar,2,12500,MGL
18-04-2020,Item-09,Roti Tawar,4,12500,MGL
18-04-2020,Item-09,Roti Tawar,3,12500,MGL
19-04-2020,Item-09,Roti Tawar,2,12500,MGL
19-04-2020,Item-09,Roti Tawar,4,12500,MGL
26-04-2020,Item-20,Pampers Bayi Size M,4,41000,MGL
26-04-2020,Item-20,Pampers Bayi Size M,2,41000,MGL
26-04-2020,Item-20,Pampers Bayi Size M,2,41000,MGL
26-04-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
26-04-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
26-04-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
27-04-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
27-04-2020,Item-20,Pampers Bayi Size M,1,41000,MGL
28-04-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
10-04-2020,Item-05,Mi Goreng Instant,2,2600,MGL
11-04-2020,Item-05,Mi Goreng Instant,2,2600,MGL
12-04-2020,Item-05,Mi Goreng Instant,2,2600,MGL
13-04-2020,Item-05,Mi Goreng Instant,1,2600,MGL
14-04-2020,Item-05,Mi Goreng Instant,3,2600,MGL
15-04-2020,Item-05,Mi Goreng Instant,1,2600,MGL
16-04-2020,Item-05,Mi Goreng Instant,1,2600,MGL
11-04-2020,Item-05,Mi Goreng Instant,4,2600,MGL
20-04-2020,Item-03,Gula Pasir Putih 1 kg,1,12500,MGL
20-04-2020,Item-14,Teh Celup Melati,4,7800,MGL
20-04-2020,Item-17,Obat Batuk,3,5000,MGL
20-04-2020,Item-18,Telur Ayam Negeri,4,1700,MGL
20-04-2020,Item-17,Obat Batuk,2,5000,MGL
20-04-2020,Item-18,Telur Ayam Negeri,3,1700,MGL
20-04-2020,Item-18,Telur Ayam Negeri,2,1700,MGL
20-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
20-04-2020,Item-14,Teh Celup Melati,2,7800,MGL
20-04-2020,Item-17,Obat Batuk,1,5000,MGL
20-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,MGL
20-04-2020,Item-17,Obat Batuk,1,5000,MGL
20-04-2020,Item-18,Telur Ayam Negeri,2,1700,MGL
20-04-2020,Item-14,Teh Celup Melati,1,7800,MGL
20-04-2020,Item-17,Obat Batuk,4,5000,MGL
20-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,MGL
20-04-2020,Item-14,Teh Celup Melati,2,7800,MGL
20-04-2020,Item-17,Obat Batuk,3,5000,MGL
20-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,MGL
20-04-2020,Item-14,Teh Celup Melati,4,7800,MGL
20-04-2020,Item-17,Obat Batuk,2,5000,MGL
20-04-2020,Item-14,Teh Celup Melati,1,7800,MGL
20-04-2020,Item-17,Obat Batuk,4,5000,MGL
20-04-2020,Item-17,Obat Batuk,3,5000,MGL
20-04-2020,Item-18,Telur Ayam Negeri,4,1700,MGL
20-04-2020,Item-17,Obat Batuk,2,5000,MGL
20-04-2020,Item-18,Telur Ayam Negeri,1,1700,MGL
20-04-2020,Item-14,Teh Celup Melati,1,7800,MGL
20-04-2020,Item-17,Obat Batuk,2,5000,MGL
20-04-2020,Item-17,Obat Batuk,4,5000,MGL
20-04-2020,Item-18,Telur Ayam Negeri,4,1700,MGL
20-04-2020,Item-09,Roti Tawar,2,12500,MGL
20-04-2020,Item-17,Obat Batuk,1,5000,MGL
20-04-2020,Item-18,Telur Ayam Negeri,2,1700,MGL
21-04-2020,Item-15,Ketan Hitam 500 gram,3,18000,MGL
20-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,MGL
20-04-2020,Item-09,Roti Tawar,3,12500,MGL
21-04-2020,Item-09,Roti Tawar,2,12500,MGL
20-04-2020,Item-03,Gula Pasir Putih 1 kg,4,12500,MGL
21-04-2020,Item-09,Roti Tawar,2,12500,MGL
21-04-2020,Item-09,Roti Tawar,3,12500,MGL
21-04-2020,Item-15,Ketan Hitam 500 gram,4,18000,MGL
20-04-2020,Item-03,Gula Pasir Putih 1 kg,2,12500,MGL
21-04-2020,Item-09,Roti Tawar,2,12500,MGL
22-04-2020,Item-26,Susu Bubuk 195g,5,45000,MGL
20-04-2020,Item-03,Gula Pasir Putih 1 kg,3,12500,MGL
21-04-2020,Item-09,Roti Tawar,3,12500,MGL
22-04-2020,Item-15,Ketan Hitam 500 gram,3,18000,MGL
22-04-2020,Item-15,Ketan Hitam 500 gram,2,18000,MGL
21-04-2020,Item-09,Roti Tawar,2,12500,MGL
22-04-2020,Item-15,Ketan Hitam 500 gram,2,18000,MGL
22-04-2020,Item-26,Susu Bubuk 195g,16,45000,MGL
21-04-2020,Item-09,Roti Tawar,4,12500,MGL
23-04-2020,Item-26,Susu Bubuk 195g,5,45000,MGL
20-04-2020,Item-03,Gula Pasir Putih 1 kg,1,12500,MGL
23-04-2020,Item-26,Susu Bubuk 195g,15,45000,MGL
22-04-2020,Item-15,Ketan Hitam 500 gram,2,18000,MGL
21-04-2020,Item-06,Sabun Mandi Cair 100 ml,4,10500,MGL
,,Susu Bubuk 195g,,45000,MGL
22-04-2020,Item-15,Ketan Hitam 500 gram,1,18000,MGL
22-04-2020,Item-15,Ketan Hitam 500 gram,2,18000,MGL
22-04-2020,Item-15,Ketan Hitam 500 gram,1,18000,MGL
22-04-2020,Item-15,Ketan Hitam 500 gram,2,18000,MGL
28-04-2020,Item-20,Pampers Bayi Size M,2,41000,MGL
28-04-2020,Item-20,Pampers Bayi Size M,1,41000,MGL
28-04-2020,Item-20,Pampers Bayi Size M,1,41000,MGL
29-04-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
29-04-2020,Item-20,Pampers Bayi Size M,2,41000,MGL
29-04-2020,Item-20,Pampers Bayi Size M,2,41000,MGL
29-04-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
29-04-2020,Item-20,Pampers Bayi Size M,4,41000,MGL
29-04-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
21-04-2020,Item-06,Sabun Mandi Cair 100 ml,4,10500,MGL
21-04-2020,Item-06,Sabun Mandi Cair 100 ml,3,10500,MGL
21-04-2020,Item-06,Sabun Mandi Cair 100 ml,4,10500,MGL
21-04-2020,Item-06,Sabun Mandi Cair 100 ml,2,10500,MGL
21-04-2020,Item-06,Sabun Mandi Cair 100 ml,1,10500,MGL
22-04-2020,Item-06,Sabun Mandi Cair 100 ml,3,10500,MGL
22-04-2020,Item-06,Sabun Mandi Cair 100 ml,3,10500,MGL
22-04-2020,Item-06,Sabun Mandi Cair 100 ml,1,10500,MGL
22-04-2020,Item-06,Sabun Mandi Cair 100 ml,1,10500,MGL
22-04-2020,Item-06,Sabun Mandi Cair 100 ml,1,10500,MGL
22-04-2020,Item-06,Sabun Mandi Cair 100 ml,1,10500,MGL
22-04-2020,Item-06,Sabun Mandi Cair 100 ml,3,10500,MGL
22-04-2020,Item-06,Sabun Mandi Cair 100 ml,1,10500,MGL
20-04-2020,Item-01,Batere AA,4,12000,MGL
20-04-2020,Item-01,Batere AA,4,12000,MGL
21-04-2020,Item-01,Batere AA,4,12000,MGL
22-04-2020,Item-01,Batere AA,4,12000,MGL
22-04-2020,Item-01,Batere AA,2,12000,MGL
22-04-2020,Item-01,Batere AA,4,12000,MGL
03-05-2020,Item-20,Pampers Bayi Size M,4,41000,MGL
03-05-2020,Item-20,Pampers Bayi Size M,2,41000,MGL
03-05-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
03-05-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
03-05-2020,Item-20,Pampers Bayi Size M,2,41000,MGL
03-05-2020,Item-20,Pampers Bayi Size M,2,41000,MGL
03-05-2020,Item-20,Pampers Bayi Size M,4,41000,MGL
03-05-2020,Item-20,Pampers Bayi Size M,1,41000,MGL
03-05-2020,Item-20,Pampers Bayi Size M,4,41000,MGL
04-05-2020,Item-20,Pampers Bayi Size M,3,41000,MGL
04-05-2020,Item-20,Pampers Bayi Size M,2,41000,MGL
